unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,Average Price,Return Ratio
1563055200,13-07-2019 22:00,BTC/USD,11032.97,11485,10997.69,11285.82,842.36,9489603.77,11200.37,1.280817729
1563051600,13-07-2019 21:00,BTC/USD,10918.43,11033.33,10810,11032.97,487.58,5314029.21,10948.6825,1.252036018
1563048000,13-07-2019 20:00,BTC/USD,11198.99,11198.99,10834.15,10918.43,1446.73,15904343.28,11037.64,1.262208749
1563044400,13-07-2019 19:00,BTC/USD,11136.95,11221,11010,11198.99,508.39,5645227.33,11141.735,1.274112527
1563040800,13-07-2019 18:00,BTC/USD,11350.36,11355.54,11053.96,11136.95,955.97,10650382.79,11224.2025,1.283543094
1563037200,13-07-2019 17:00,BTC/USD,11334.04,11418,11233.81,11350.36,268.66,3043272.41,11334.0525,1.296104985
1563033600,13-07-2019 16:00,BTC/USD,11416.09,11474.55,11324.44,11334.04,128.14,1461774.33,11387.28,1.302191813
1563030000,13-07-2019 15:00,BTC/USD,11339.5,11432.54,11272.58,11416.09,183.82,2092383.1,11365.1775,1.299664282
1563026400,13-07-2019 14:00,BTC/USD,11370.38,11435,11304.47,11339.5,287.36,3271171.08,11362.3375,1.299339514
1563022800,13-07-2019 13:00,BTC/USD,11327.33,11452.53,11308.34,11370.38,214.42,2441767.9,11364.645,1.299603388
1563019200,13-07-2019 12:00,BTC/USD,11309.38,11395.27,11257.6,11327.33,298.5,3388270.83,11322.395,1.294771892
1563015600,13-07-2019 11:00,BTC/USD,11312.41,11345.26,11200,11309.38,523.4,5890712.96,11291.7625,1.291268914
1563012000,13-07-2019 10:00,BTC/USD,11542.93,11542.93,11242.5,11312.41,921.22,10450116.23,11410.1925,1.30481197
1563008400,13-07-2019 09:00,BTC/USD,11565.19,11643.43,11480.95,11542.93,180.38,2086152.83,11558.125,1.321728784
1563004800,13-07-2019 08:00,BTC/USD,11509.59,11632.48,11497.68,11565.19,225.97,2613913.91,11551.235,1.320940878
1563001200,13-07-2019 07:00,BTC/USD,11579.85,11585.92,11478.64,11509.59,807.63,9321713.98,11538.5,1.319484568
1562997600,13-07-2019 06:00,BTC/USD,11680,11680,11579.85,11579.85,66.04,767390.61,11629.925,1.329939469
1562994000,13-07-2019 05:00,BTC/USD,11646.39,11700,11626.66,11680,70.95,828752.33,11663.2625,1.333751777
1562990400,13-07-2019 04:00,BTC/USD,11629,11653.83,11536,11646.39,154.28,1788085.12,11616.305,1.328381955
1562986800,13-07-2019 03:00,BTC/USD,11693.15,11740,11569.46,11629,266.12,3094509.19,11657.9025,1.333138835
1562983200,13-07-2019 02:00,BTC/USD,11716.18,11769.52,11678.41,11693.15,57.52,674322.87,11714.315,1.339589883
1562979600,13-07-2019 01:00,BTC/USD,11771.11,11790.01,11647.75,11716.18,182.6,2137397.14,11731.2625,1.341527914
1562976000,13-07-2019 00:00,BTC/USD,11808.91,11846.61,11736.43,11771.11,102.92,1214106.76,11790.765,1.348332319
1562972400,12-07-2019 23:00,BTC/USD,11814.23,11860.99,11769.01,11808.91,79.85,944275.23,11813.285,1.350907592
1562968800,12-07-2019 22:00,BTC/USD,11805.25,11862.85,11760,11814.23,126.85,1497145.03,11810.5825,1.350598548
1562965200,12-07-2019 21:00,BTC/USD,11919.05,11942.39,11772.87,11805.25,283.56,3363526.9,11859.89,1.356237105
1562961600,12-07-2019 20:00,BTC/USD,11637.24,11923.34,11621.98,11919.05,579.29,6827199.25,11775.4025,1.346575541
1562958000,12-07-2019 19:00,BTC/USD,11609.25,11637.79,11546.04,11637.24,186.77,2166336.85,11607.58,1.327384208
1562954400,12-07-2019 18:00,BTC/USD,11638.6,11697.08,11562.7,11609.25,252.98,2944468.53,11626.9075,1.329594403
1562950800,12-07-2019 17:00,BTC/USD,11558.42,11664.64,11535.66,11638.6,232.92,2702412.24,11599.33,1.326440779
1562947200,12-07-2019 16:00,BTC/USD,11524.84,11621.31,11450,11558.42,442.58,5110533.33,11538.6425,1.319500864
1562943600,12-07-2019 15:00,BTC/USD,11641.34,11642.9,11485.02,11524.84,615.84,7105879.65,11573.525,1.32348985
1562940000,12-07-2019 14:00,BTC/USD,11676.79,11732,11607.56,11641.34,251.02,2930713.06,11664.4225,1.333884429
1562936400,12-07-2019 13:00,BTC/USD,11679.58,11766.45,11655.56,11676.79,209.05,2448012.19,11694.595,1.337334804
1562932800,12-07-2019 12:00,BTC/USD,11700.02,11733.1,11567.56,11679.58,461.64,5385104.16,11670.065,1.334529677
1562929200,12-07-2019 11:00,BTC/USD,11677.5,11724.54,11640,11700.02,182.38,2131437.83,11685.515,1.336296461
1562925600,12-07-2019 10:00,BTC/USD,11687,11797.2,11611,11677.5,460.79,5393841.64,11693.175,1.33717242
1562922000,12-07-2019 09:00,BTC/USD,11610,11699.51,11610,11687,177.79,2072872.19,11651.6275,1.332421257
1562918400,12-07-2019 08:00,BTC/USD,11677.59,11720.36,11572,11610,394.19,4591017.46,11644.9875,1.33166194
1562914800,12-07-2019 07:00,BTC/USD,11432.85,11735.32,11432.38,11677.59,1273.89,14824623.65,11569.535,1.323033574
1562911200,12-07-2019 06:00,BTC/USD,11385.05,11445.94,11332.15,11432.85,347.77,3964165.01,11398.9975,1.303531767
1562907600,12-07-2019 05:00,BTC/USD,11321.83,11393.76,11237.21,11385.05,460.95,5225556.25,11334.4625,1.29615187
1562904000,12-07-2019 04:00,BTC/USD,11195.16,11332.19,11083.52,11321.83,618.34,6929409.88,11233.175,1.284569143
1562900400,12-07-2019 03:00,BTC/USD,11370.99,11370.99,11108.07,11195.16,525.25,5885178.22,11261.3025,1.287785662
1562896800,12-07-2019 02:00,BTC/USD,11424.31,11424.31,11304.49,11370.99,248.74,2825984.56,11381.025,1.301476523
1562893200,12-07-2019 01:00,BTC/USD,11465,11532,11358.5,11424.31,214.53,2455332.16,11444.9525,1.308786948
1562889600,12-07-2019 00:00,BTC/USD,11349.24,11512.56,11187.08,11465,549.74,6257522.17,11378.47,1.301184346
1562886000,11-07-2019 23:00,BTC/USD,11325.4,11377.43,11194.65,11349.24,382.32,4317991.03,11311.68,1.293546579
1562882400,11-07-2019 22:00,BTC/USD,11296.44,11441.43,11260.49,11325.4,433.48,4930417.76,11330.94,1.295749055
1562878800,11-07-2019 21:00,BTC/USD,11153.45,11332.19,11040.81,11296.44,707.51,7923466.85,11205.7225,1.281429814
1562875200,11-07-2019 20:00,BTC/USD,11594.73,11663.09,10966.81,11153.45,2386.57,26789844.46,11344.52,1.297301995
1562871600,11-07-2019 19:00,BTC/USD,11678.51,11689.87,11528,11594.73,556.76,6458133.53,11622.7775,1.329122117
1562868000,11-07-2019 18:00,BTC/USD,11712.31,11751.18,11612.78,11678.51,480.68,5617147.42,11688.695,1.336660109
1562864400,11-07-2019 17:00,BTC/USD,11716.61,11794.07,11677.35,11712.31,409.6,4805690.05,11725.085,1.340821486
1562860800,11-07-2019 16:00,BTC/USD,11536.91,11746.36,11417.39,11716.61,717.15,8332798.07,11604.3175,1.327011125
1562857200,11-07-2019 15:00,BTC/USD,11777.38,11833.48,11474.55,11536.91,1051.25,12248146.23,11655.58,1.332873245
