unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1533733200,08-08-2018 13:00,ETH/USD,366.54,367.3,364.4,365.13,825.55,302046.88,365.8425,0.49898217
1533736800,08-08-2018 14:00,ETH/USD,365.13,365.23,356.72,364.29,3782.45,1366277.61,362.8425,0.494890391
1533740400,08-08-2018 15:00,ETH/USD,364.29,369.7,362.89,367.27,1482.89,543048.54,366.0375,0.499248136
1533744000,08-08-2018 16:00,ETH/USD,367.27,368.56,347.62,355.35,5077.96,1799452.47,359.7,0.490604253
1533747600,08-08-2018 17:00,ETH/USD,355.35,358.59,352.65,356.41,2201.65,783016.66,355.75,0.485216745
1533751200,08-08-2018 18:00,ETH/USD,356.41,358.23,351.27,357.88,2185.64,776587.64,355.9475,0.48548612
1533754800,08-08-2018 19:00,ETH/USD,357.88,364,357.88,363.09,1076.33,388915.89,360.7125,0.491985229
1533758400,08-08-2018 20:00,ETH/USD,363.09,363.09,356.03,357.72,365.96,131495.6,359.9825,0.490989563
1533762000,08-08-2018 21:00,ETH/USD,357.72,358.99,354.49,358.99,465.13,165619.57,357.5475,0.487668402
1533765600,08-08-2018 22:00,ETH/USD,358.99,358.99,350.04,351.97,665.82,235502.97,354.9975,0.48419039
1533769200,08-08-2018 23:00,ETH/USD,351.97,356.98,350.02,355.59,729.52,258126.65,353.64,0.482338861
1533772800,09-08-2018 00:00,ETH/USD,355.59,358.89,355.36,357.27,249.59,89119.99,356.7775,0.486618179
1533776400,09-08-2018 01:00,ETH/USD,357.27,359.17,355.91,358.95,683.27,244000.93,357.825,0.488046892
1533780000,09-08-2018 02:00,ETH/USD,358.95,361.42,357.68,359.3,1012.98,363469.36,359.3375,0.49010983
1533783600,09-08-2018 03:00,ETH/USD,359.3,359.99,357.62,359.37,273.68,98200.26,359.07,0.48974498
1533787200,09-08-2018 04:00,ETH/USD,359.37,361.91,357.71,361.91,1210.23,435524.43,360.225,0.491320315
1533790800,09-08-2018 05:00,ETH/USD,361.91,363.13,359.79,360.95,387.69,140367.69,361.445,0.492984305
1533794400,09-08-2018 06:00,ETH/USD,360.95,362.32,360.66,361.15,286.1,103436.6,361.27,0.492745618
1533798000,09-08-2018 07:00,ETH/USD,361.15,361.92,358.2,359.72,798.01,286472.05,360.2475,0.491351003
1533801600,09-08-2018 08:00,ETH/USD,359.72,361.01,358.79,360.43,4262.11,1538223.48,359.9875,0.490996382
1533805200,09-08-2018 09:00,ETH/USD,360.43,360.84,355,360.63,8850.65,3157799.33,359.225,0.489956388
1533808800,09-08-2018 10:00,ETH/USD,360.63,360.63,357.5,360.01,1772.63,636699.24,359.6925,0.490594024
1533812400,09-08-2018 11:00,ETH/USD,360.01,360.44,357.76,358.08,244.09,87593.08,359.0725,0.48974839
1533816000,09-08-2018 12:00,ETH/USD,358.08,358.08,353.25,354.3,623.58,221386.2,355.9275,0.485458842
1533819600,09-08-2018 13:00,ETH/USD,354.3,363.25,350.84,361.62,2077.81,746375.4,357.5025,0.487607026
1533823200,09-08-2018 14:00,ETH/USD,361.62,366.7,361,365.45,1579.57,574330.51,363.6925,0.496049729
1533826800,09-08-2018 15:00,ETH/USD,365.45,368.48,361.95,362.83,860.58,314079.26,364.6775,0.497393196
1533830400,09-08-2018 16:00,ETH/USD,362.83,364.99,362.7,363.7,864.33,314751.31,363.555,0.495862189
1533834000,09-08-2018 17:00,ETH/USD,363.7,364.11,361.35,363.34,406.25,147400,363.125,0.495275701
1533837600,09-08-2018 18:00,ETH/USD,363.34,363.93,361.51,362.43,429.54,155765.94,362.8025,0.494835834
1533841200,09-08-2018 19:00,ETH/USD,362.43,364.18,361.99,361.99,234.65,85242.64,362.6475,0.494624426
1533844800,09-08-2018 20:00,ETH/USD,361.99,363.84,361.99,363.22,265.55,96512.31,362.76,0.494777868
1533848400,09-08-2018 21:00,ETH/USD,363.22,370.43,363.22,370.43,931.21,342462.91,366.825,0.500322228
1533852000,09-08-2018 22:00,ETH/USD,370.43,370.43,368.8,369.23,1911.88,706053.65,369.7225,0.504274204
1533855600,09-08-2018 23:00,ETH/USD,369.23,369.38,362.31,363.52,473.33,173026.53,366.11,0.49934702
1533859200,10-08-2018 00:00,ETH/USD,363.52,366.23,363.52,364.98,219.88,80263.69,364.5625,0.497236345
1533862800,10-08-2018 01:00,ETH/USD,364.98,365.68,361.57,361.57,745.18,270331.42,363.45,0.495718977
